title,genres,where_to_watch
Voice Season 3: City of Accomplices,"Thriller, Mystery, Psychological, Supernatural","Apple TV, Roku, Tubi"
Military Prosecutor Doberman,"Action, Military, Mystery, Law","Viki, iQIYI, Netflix"
"From Now On, Showtime!","Mystery, Comedy, Romance, Fantasy","Viki, VIU Indonesia"
Age of Youth Season 2,"Mystery, Comedy, Romance, Life","Netflix, Viki"
Sh**ting Stars,"Comedy, Romance, Drama","Apple TV, WeTV, Viki, iQIYI, TVING, VIU Indonesia, Netflix"
Birthcare Center,"Comedy, Life, Drama, Melodrama","WeTV, Viki, iQIYI, Netflix"
100 Days My Prince,"Historical, Comedy, Romance, Drama","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Prime Video"
Yumi's Cells Season 2,"Comedy, Romance, Life","Viki, Prime Video"
The Forbidden Marriage,"Historical, Mystery, Comedy, Romance","Apple TV, Viki, Prime Video, Kocowa"
My Roommate Is a Gumiho,"Comedy, Romance, Fantasy","Apple TV, Netflix, Viki, iQIYI, TVING, Prime Video"
One Day Off,"Food, Life, Drama","Viki, Lemino, Kocowa"
Psychopath Diary,"Thriller, Mystery, Comedy, Crime","Viki, VIU Indonesia, Tubi, Roku"
True Beauty,"Comedy, Romance, Youth, Drama","Apple TV, Viki, Prime Video, VIU Indonesia, Netflix"
Five Enough,"Comedy, Romance, Drama, Melodrama","Viki, Prime Video, KBS World, Kocowa"
The Nokdu Flower,"Historical, War, Political","Netflix, Viki, SBS World, Tubi, Kocowa"
One Spring Night,"Romance, Life, Drama",Netflix
He Is Psychometric,"Thriller, Mystery, Romance, Supernatural","Apple TV, WeTV, Viki, iQIYI, Prime Video, Tubi"
"At a Distance, Spring Is Green","Romance, Life, Youth","Apple TV, Viki, iQIYI"
A Bloody Lucky Day,"Thriller, Mystery, Psychological, Drama",TVING
Gaus Electronics,"Business, Comedy, Romance, Life",Viki
The Tale of Nokdu,"Action, Historical, Comedy, Romance","Apple TV, Netflix, Viki, iQIYI, Kocowa"
The Hymn of Death,"Music, Historical, Romance, Melodrama",Netflix
Search: WWW,"Business, Comedy, Romance, Drama","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iflix, Prime Video, Tubi"
Money Heist: Korea - Joint Economic Area - Part 1,"Action, Thriller, Mystery, Crime",Netflix
The King's Affection,"Historical, Romance, Drama",Netflix
Super Junior: The Last Man Standing,"Music, Documentary","Disney+, Hulu"
The Beauty Inside,"Comedy, Romance, Melodrama, Supernatural","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, iflix, Kocowa"
The Sound of Your Heart,"Comedy, Life, Sitcom",Netflix
God's Quiz: Reboot,"Mystery, Medical",Apple TV
Confession,"Thriller, Mystery, Law, Drama","Apple TV, Tubi, Roku"
Class of Lies,"Thriller, Mystery, Law, Youth","Apple TV, Viki, VIU Indonesia"
Rookie Cops,"Romance, Life, Youth, Drama","Apple TV, Disney+, Disney+ Hotstar, Hulu"
Call It Love,"Romance, Drama, Melodrama","Apple TV, Disney+ Hotstar, Disney+, Hulu"
Terius behind Me,"Action, Mystery, Comedy, Romance",Kocowa
She Makes My Heart Flutter,"Comedy, Romance",
Again My Life,"Mystery, Law, Drama, Fantasy",Viki
Oh My Ghost,"Thriller, Comedy, Romance, Supernatural","Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Prime Video, AsianCrush, Tubi"
Arthdal Chronicles: The Sword of Aramun,"Action, Historical, Romance, Fantasy","Disney+, TVING, Hulu"
Divorce Attorney Shin,"Law, Drama",Netflix
Hit the Spot,"Romance, Drama, Mature",Viki
Suspicious Partner,"Thriller, Comedy, Law, Romance","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, SBS World, Kocowa"
Leverage,"Action, Mystery, Comedy, Crime","iQIYI, VIU Indonesia"
Memory,"Law, Romance, Life, Drama","Apple TV, Tubi"
Graceful Family,"Thriller, Mystery, Drama, Melodrama",Viki
My Demon,"Action, Comedy, Romance, Fantasy",Netflix
Lawless Lawyer,"Action, Thriller, Law, Romance","Apple TV, Netflix, WeTV, Viki, iQIYI"
Awaken,"Thriller, Mystery, Crime, Fantasy","Netflix, WeTV, Viki, iQIYI"
The Guardians,"Action, Thriller, Mystery, Law","Netflix, Kocowa"
King the Land,"Comedy, Romance","Netflix, TVING"
D-Day,"Drama, Medical","Viki, Kocowa"
Celebrity,"Thriller, Mystery, Drama",Netflix
