title,genres,where_to_watch
Lovers of the Red Sky,"Historical, Romance, Drama, Fantasy",Viki
"Fanletter, Please","Comedy, Romance",Viki
Bloody Heart,"Historical, Drama, Political",Disney+
Hyena,"Mystery, Comedy, Law, Romance",Netflix
Kill It,"Action, Thriller, Mystery, Drama",WeTV
Jirisan,"Thriller, Mystery, Drama, Fantasy",Viki
Queen of Mystery,"Action, Mystery, Comedy, Drama",Apple TV
Miraculous Brothers,"Mystery, Drama, Fantasy, Supernatural",Viki
Run On,"Romance, Life, Drama, Sports",Netflix
The King: Eternal Monarch,"Mystery, Romance, Drama, Sci-Fi",Netflix
Another Miss Oh,"Comedy, Romance, Melodrama, Supernatural",Disney+ Hotstar
My Lovely Liar,"Mystery, Comedy, Romance, Supernatural",Viki
Black Knight,"Action, Adventure, Drama, Sci-Fi",Netflix
Solomon's Perjury,"Law, Youth, Drama",Disney+ Hotstar
To My Star Season 2: Our Untold Stories,"Romance, Drama",Viki
Black Dog,"Comedy, Life, Drama",Netflix
Search,"Military, Thriller, Mystery, Horror",Viki
Uncle,"Music, Comedy, Drama",Viki
Inspector Koo,"Action, Thriller, Mystery, Comedy",Netflix
The Secret Romantic Guesthouse,"Historical, Mystery, Romance, Drama",Viki
Somehow 18,"Comedy, Romance, Drama, Fantasy",iflix
Destined with You,"Comedy, Romance, Drama, Fantasy",Netflix
Light on Me,"Romance, Youth, Drama",WeTV
"Bring It On, Ghost","Horror, Comedy, Romance, Supernatural",Apple TV
"Work Later, Drink Now Season 2","Comedy, Life, Drama",Apple TV
The Light in Your Eyes,"Romance, Life, Drama, Melodrama",Apple TV
School 2017,"Mystery, Comedy, Romance, Youth",Apple TV
The Penthouse Season 3: War in Life,"Thriller, Mystery, Crime, Drama",Netflix
My Holo Love,"Romance, Drama, Sci-Fi, Melodrama",Netflix
Special Labor Inspector Jo,"Action, Business, Comedy, Drama",Kocowa
Go Ho's Starry Night,"Business, Comedy, Romance, Drama",Viki
Behind Your Touch,"Thriller, Mystery, Comedy, Supernatural",Netflix
Woman of Dignity,"Thriller, Mystery, Romance, Drama",Netflix
Café Minamdang,"Mystery, Comedy, Romance",Netflix
Zombie Detective,"Thriller, Mystery, Comedy, Fantasy",Viki
The Most Beautiful Goodbye,"Life, Melodrama",K-DRAMA
All-Boys High,"Comedy, Youth",
Shopping King Louie,"Comedy, Romance, Life, Drama",Netflix
Uncontrollably Fond,"Comedy, Romance, Drama, Melodrama",Netflix
One the Woman,"Mystery, Comedy, Romance, Drama",Viki
Night Has Come,"Thriller, Mystery, Horror, Youth",Apple TV
Our Blooming Youth,"Historical, Mystery, Romance, Drama",Viki
Why Her?,"Mystery, Law, Romance, Melodrama",Apple TV
A Piece of Your Mind,"Romance, Life, Drama, Melodrama",Apple TV
Evilive,"Thriller, Mystery, Crime, Drama",Roku
Girls' Generation 1979,"Mystery, Romance, Youth, Drama",KBS World
Into the Ring,"Comedy, Romance, Drama, Political",Netflix
Romance Is a Bonus Book,"Business, Comedy, Romance, Melodrama",Netflix
Sassy Go Go,"Romance, Youth, Drama, Sports",Netflix
Falling for Innocence,"Business, Comedy, Romance, Drama",Apple TV
Chimera,"Thriller, Mystery",Viki
The Silent Sea,"Thriller, Mystery, Horror, Sci-Fi",Netflix
Eulachacha Waikiki Season 2,"Comedy, Romance, Life, Drama",Netflix
Never Twice,"Comedy, Romance, Drama, Family",Viki
Start-Up,"Business, Comedy, Romance, Youth",Netflix
A Breeze of Love,"Romance, Sports",iQIYI
Familiar Wife,"Comedy, Romance, Drama, Fantasy",Apple TV
38 Task Force,"Mystery, Comedy, Crime, Drama",Disney+ Hotstar
Live On,"Comedy, Romance, Youth, Drama",Apple TV
Haechi,"Action, Adventure, Historical, Political",Netflix
Chocolate,"Romance, Life, Medical, Melodrama",Netflix
Maestra: Strings of Truth,"Music, Thriller, Mystery, Drama",Disney+
Idol: The Coup,"Music, Youth, Drama",iQIYI
Suits,"Action, Business, Law, Drama",Netflix
Jealousy Incarnate,"Comedy, Romance",Netflix
Mask,"Thriller, Psychological, Romance, Melodrama",Viki
On the Verge of Insanity,"Comedy, Life, Drama",Viki
Money Flower,"Business, Law, Romance, Melodrama",Viki
True to Love,"Comedy, Romance, Life, Melodrama",Prime Video
Doctor Cha,"Comedy, Life, Drama, Medical",Netflix
Narco-Saints,"Action, Thriller, Crime",Netflix
Encounter,"Romance, Drama, Melodrama",Apple TV
Not Others,"Mystery, Comedy, Romance, Drama",Viki
Love Playlist Season 2,"Romance, Life, Youth, Drama",WeTV
Growing Season,"Romance, Life, Youth, Drama",WeTV
Catch the Ghost,"Thriller, Mystery, Comedy, Romance",Prime Video
